iter	Logloss
0	0.6133515835
1	0.5430733562
2	0.4804016948
3	0.4262720048
4	0.3786728084
5	0.3619788289
6	0.3233863711
7	0.2940411568
8	0.2672203183
9	0.2461084127
10	0.226254642
11	0.2072886527
12	0.1898924112
13	0.1727016568
14	0.1615218222
15	0.1505172849
16	0.1394907683
17	0.1308530867
18	0.124287203
19	0.1164293587
20	0.1102983505
21	0.1035254449
22	0.09786823392
23	0.09189338982
24	0.08575634658
25	0.08201810718
26	0.0785645023
27	0.07463942468
28	0.07111557573
29	0.06814937294
30	0.0640013963
31	0.06171770021
32	0.05885055661
33	0.05686988682
34	0.05459332466
35	0.05205369741
36	0.05026338249
37	0.0477033034
38	0.04537805542
39	0.04398008436
40	0.04262270778
41	0.04150161147
42	0.04042776674
43	0.0393846482
44	0.03827730194
45	0.03735082969
46	0.03615203872
47	0.03480090201
48	0.03390511125
49	0.03305496648
50	0.03224419057
51	0.03155595064
52	0.03089376166
53	0.03007935546
54	0.0293812491
55	0.02872870862
56	0.02809834294
57	0.02756559849
58	0.02667453885
59	0.02611817047
60	0.02565263212
61	0.02520361915
62	0.02470188588
63	0.02409871481
64	0.0236197412
65	0.02323632874
66	0.02286585048
67	0.02229193226
68	0.02175357938
69	0.02129558101
70	0.02086479962
71	0.0205142349
72	0.02013321966
73	0.019725319
74	0.01931997761
75	0.0190538168
76	0.01860108599
77	0.01825068332
78	0.01797101647
79	0.01767167076
80	0.0173045136
81	0.01708697714
82	0.01680675708
83	0.0165355131
84	0.01630241051
85	0.01610799506
86	0.01586179249
87	0.01564982347
88	0.01541353576
89	0.01518650819
90	0.01499096677
91	0.01477152947
92	0.01455814485
93	0.01430504024
94	0.0141043542
95	0.01393342204
96	0.01376409363
97	0.01359901763
98	0.01333211921
99	0.01312041283
100	0.01291482151
101	0.01274718903
102	0.01258647814
103	0.01242846437
104	0.01225548424
105	0.01211028732
106	0.01196371019
107	0.01183776371
108	0.01169329509
109	0.01157267671
110	0.01143864729
111	0.01130843163
112	0.01119514275
113	0.01106961723
114	0.01094977185
115	0.01077108458
116	0.01065451745
117	0.01051440276
118	0.01037050504
119	0.01023605652
120	0.0101445429
121	0.01004057657
122	0.009915354662
123	0.009815035388
124	0.00969484821
125	0.009578318335
126	0.009484731592
127	0.009392002597
128	0.009301953018
129	0.0092136655
130	0.009127242491
131	0.009041265585
132	0.008957491256
133	0.00887523219
134	0.008775321767
135	0.00869612582
136	0.0086268913
137	0.008551279083
138	0.008458019234
139	0.008367214352
140	0.008294064552
141	0.00822368823
142	0.008153259754
143	0.008084118366
144	0.00801711157
145	0.007934704423
146	0.007854124531
147	0.007790146861
148	0.007712121122
149	0.007650045678
150	0.007590086199
151	0.007529991679
152	0.007470815443
153	0.007399551105
154	0.007342274766
155	0.007272455841
156	0.00721700117
157	0.007163201459
158	0.007109573111
159	0.007056307979
160	0.007004015148
161	0.006952550728
162	0.006890770048
163	0.006840387359
164	0.006792057306
165	0.006732480135
166	0.006673872937
167	0.006626816001
168	0.006580841262
169	0.006535928696
170	0.006480573677
171	0.00642662961
172	0.006372510456
173	0.006330029108
174	0.006277804263
175	0.006226856261
176	0.006176409777
177	0.006127157249
178	0.006087305956
179	0.006040137727
180	0.005992525257
181	0.005955191329
182	0.005917787552
183	0.005872824229
184	0.005827040412
185	0.005783301778
186	0.005740363151
187	0.005705602467
188	0.005663522519
189	0.005629758816
190	0.005588324275
191	0.005555964075
192	0.005519438069
193	0.005479550455
194	0.00544110965
195	0.005402954295
196	0.005371912383
197	0.005334599875
198	0.005297122523
199	0.005267591681
200	0.005231721327
201	0.005202199332
202	0.005167077295
203	0.005133137573
204	0.005104701966
205	0.005071388092
206	0.005043983925
207	0.005010928959
208	0.004984667059
209	0.004952338524
210	0.004920494277
211	0.00489433622
212	0.00486353226
213	0.004838287365
214	0.004807704128
215	0.004779675044
216	0.004749730229
217	0.00472054584
218	0.004697057884
219	0.00466874335
220	0.004639269318
221	0.00461220555
222	0.004589370918
223	0.004561448935
224	0.004539177287
225	0.004511829931
226	0.004491209518
227	0.004464067519
228	0.004442628939
229	0.004417252727
230	0.00439101737
231	0.004370588809
232	0.004346198402
233	0.004321147688
234	0.004300749861
235	0.004277383909
236	0.004257598892
237	0.004238260444
238	0.004219487309
239	0.00420101732
240	0.004182545003
241	0.00416365359
242	0.004146151245
243	0.004128280096
244	0.004109336995
245	0.004091628827
246	0.004074519966
247	0.004056670703
248	0.004039800726
249	0.004022173584
250	0.004005746916
251	0.003988600336
252	0.003971841652
253	0.003955904394
254	0.003938296344
255	0.003921972588
256	0.003907007165
257	0.003889820771
258	0.003874530084
259	0.003857648931
260	0.003842549399
261	0.003826806555
262	0.003811134491
263	0.003796665464
264	0.003780932166
265	0.003765658941
266	0.003751234151
267	0.003735811217
268	0.003721370362
269	0.00370694045
270	0.003692159895
271	0.003677849192
272	0.003664038377
273	0.00364955375
274	0.00363601977
275	0.003621512093
276	0.003607058898
277	0.003593523288
278	0.00358048128
279	0.00356695638
280	0.003552788636
281	0.003539564321
282	0.003526434302
283	0.003513878444
284	0.003500727005
285	0.003487235866
286	0.00347441202
287	0.003461722517
288	0.003448856296
289	0.003436380066
290	0.003423677292
291	0.003411822021
292	0.003399613779
293	0.00338702742
294	0.00337534491
295	0.003363355994
296	0.003351334715
297	0.003339322284
298	0.00332788378
299	0.003315832466
300	0.003304247279
301	0.003292949405
302	0.00328128878
303	0.003269464709
304	0.003258958459
305	0.003247719258
306	0.00323657738
307	0.003225110006
308	0.003214074299
