iter	Passed	Remaining
0	1	10201
1	2	10660
2	3	10247
3	5	11243
4	7	11531
5	8	11198
6	9	10924
7	10	10926
8	12	10920
9	13	11259
10	15	11377
11	16	11503
12	18	11403
13	19	11446
14	21	11494
15	22	11440
16	23	11422
17	25	11478
18	26	11367
19	28	11479
20	29	11540
21	30	11495
22	32	11597
23	34	11686
24	35	11726
25	37	11696
26	38	11755
27	40	11843
28	42	11847
29	44	11996
30	45	11979
31	46	11923
32	48	11904
33	49	11910
34	50	11877
35	52	11891
36	54	11970
37	55	11925
38	57	12001
39	59	12124
40	60	12115
41	62	12090
42	64	12173
43	66	12233
44	67	12191
45	68	12217
46	70	12217
47	71	12213
48	73	12246
49	75	12252
50	76	12229
51	77	12199
52	79	12209
53	80	12174
54	82	12181
55	83	12180
56	85	12162
57	86	12114
58	87	12076
59	89	12175
60	91	12218
61	93	12214
62	94	12250
63	96	12212
64	97	12214
65	99	12201
66	100	12200
67	101	12163
68	103	12155
69	104	12143
70	105	12115
71	107	12095
72	108	12096
73	110	12075
74	111	12048
75	112	12044
76	114	12051
77	115	12045
78	117	12017
79	118	12005
80	119	11981
81	121	11967
82	122	11946
83	123	11921
84	125	11965
85	126	11951
86	128	11977
87	130	11987
88	131	11969
89	132	11958
90	134	11952
91	135	11940
92	136	11925
93	138	11903
94	139	11879
95	140	11859
96	142	11890
97	144	11902
98	145	11892
99	146	11883
100	148	11878
101	149	11861
102	151	11859
103	152	11841
104	153	11832
105	154	11817
106	156	11788
107	157	11777
108	158	11759
109	160	11760
110	161	11744
111	162	11730
112	164	11754
113	165	11752
114	167	11742
115	168	11727
116	170	11755
117	171	11757
118	173	11756
119	174	11755
120	176	11743
121	177	11728
122	178	11719
123	180	11712
124	181	11701
125	182	11699
126	184	11701
127	186	11726
128	187	11727
129	188	11718
130	190	11740
131	192	11738
132	193	11729
133	195	11727
134	196	11714
135	197	11711
136	199	11710
137	200	11698
138	201	11687
139	203	11679
140	204	11682
141	206	11691
142	208	11716
143	209	11705
144	210	11700
145	212	11694
146	214	11726
147	215	11715
148	216	11701
149	218	11715
150	219	11713
151	221	11725
152	223	11728
153	224	11722
154	226	11741
155	227	11727
156	229	11724
157	230	11737
158	232	11732
159	233	11746
160	235	11770
161	237	11756
162	238	11752
163	239	11745
164	241	11737
165	243	11790
166	245	11783
167	246	11768
168	247	11757
169	248	11747
170	250	11735
171	251	11744
172	253	11736
173	254	11748
174	256	11733
175	257	11724
176	259	11728
177	260	11731
178	261	11722
179	263	11718
180	264	11707
181	265	11697
182	267	11701
183	269	11716
184	270	11711
185	271	11697
186	273	11690
187	274	11686
188	275	11676
189	277	11670
190	278	11661
191	279	11658
192	281	11646
193	282	11645
194	283	11642
195	285	11633
196	286	11623
197	287	11612
198	288	11607
199	290	11625
200	292	11613
201	293	11602
202	294	11592
203	295	11581
204	297	11577
205	298	11587
206	300	11574
207	301	11584
208	303	11584
209	304	11576
210	306	11603
211	308	11600
212	310	11618
213	311	11613
214	312	11604
215	314	11598
216	315	11595
217	316	11584
218	317	11577
219	319	11575
220	320	11563
221	321	11550
222	322	11539
223	324	11527
224	325	11519
225	326	11521
226	328	11517
227	329	11512
228	331	11512
229	332	11504
230	333	11497
231	335	11495
232	336	11487
233	337	11488
234	339	11480
235	340	11475
236	341	11466
237	342	11462
238	344	11461
239	345	11449
240	347	11466
241	349	11467
242	350	11462
243	351	11465
244	353	11459
245	354	11459
246	356	11463
247	357	11456
248	359	11457
249	360	11454
250	362	11463
251	363	11455
252	365	11467
253	367	11495
254	370	11517
255	371	11510
256	373	11517
257	374	11507
258	375	11500
259	376	11491
260	377	11484
261	379	11476
262	380	11474
263	381	11466
264	383	11458
265	384	11450
266	386	11462
267	387	11453
268	388	11446
269	389	11441
270	391	11435
271	392	11427
272	393	11416
273	394	11410
274	396	11403
275	397	11396
276	398	11389
277	399	11380
278	400	11371
279	402	11363
280	403	11355
281	404	11353
282	405	11344
283	407	11345
284	408	11338
285	409	11330
286	411	11328
287	412	11322
288	414	11323
289	418	11415
290	420	11424
291	424	11478
292	425	11477
293	427	11474
294	433	11597
295	434	11588
296	435	11580
297	436	11572
298	438	11565
299	439	11556
300	440	11549
301	441	11540
302	442	11531
303	444	11523
304	445	11516
305	446	11508
306	447	11499
307	448	11490
308	450	11482
