iter	Logloss
0	0.6337097412
1	0.5807792959
2	0.5357397193
3	0.4980608498
4	0.4686390466
5	0.4390697953
6	0.4157881269
7	0.3985338795
8	0.3806871604
9	0.3671060926
10	0.3547168712
11	0.3441016055
12	0.3323029823
13	0.322127199
14	0.3143915577
15	0.3085312629
16	0.3029160948
17	0.297216356
18	0.2931003658
19	0.2898907278
20	0.2875055005
21	0.2841629926
22	0.2818170167
23	0.2778600946
24	0.2749499665
25	0.2722247121
26	0.2704514294
27	0.2668261199
28	0.2653142669
29	0.2638341893
30	0.2617193534
31	0.2597531127
32	0.2585946438
33	0.2568552621
34	0.2549198617
35	0.2533331562
36	0.2520642205
37	0.2512758712
38	0.2488578117
39	0.2477882791
40	0.245357769
41	0.2446856151
42	0.2435784471
43	0.2417154574
44	0.2407135884
45	0.2393343277
46	0.2387126281
47	0.2372486862
48	0.2365688016
49	0.2361855379
50	0.2351435792
51	0.2337458531
52	0.2329991176
53	0.2316572441
54	0.2302938102
55	0.229910454
56	0.229112772
57	0.2287495626
58	0.2282205977
59	0.2276571052
60	0.2273699725
61	0.2268029064
62	0.2264983863
63	0.2260021822
64	0.2257424571
65	0.2250545721
66	0.2242307602
67	0.2237910782
68	0.2234490355
69	0.2232438843
70	0.2229776271
71	0.2227428961
72	0.2226225944
73	0.2221631637
74	0.2217955332
75	0.2214302886
76	0.2210718163
77	0.2206967967
78	0.2203158133
79	0.2200535583
80	0.2199004057
81	0.2194239678
82	0.2191710846
83	0.2189432189
84	0.2176262852
85	0.2174937989
86	0.2172970504
87	0.2170505423
